RV_number	Gene_name	Iron_up	Iron_down	Enhanced_upregulation_at_Fe-	Enhanced_downregulation_at_Fe-
Rv0608	vapB28	0	0	0	0
Rv0609	vapC28	0	0	0	0
Rv0609A	.	0	0	0	0
Rv0610c	.	0	0	0	0
Rv0611c	.	1	0	0	0
Rv0612	.	0	0	0	0
Rv0613c	.	0	0	0	0
Rv0615	.	1	0	0	0
Rv0616A	vapB29	0	0	0	0
Rv0617	vapC29	0	0	0	0
Rv0620	galK	0	0	0	0
Rv0621	.	0	0	0	0
Rv0622	.	0	0	0	0
Rv0623	vapB30	0	0	0	0
Rv0624	vapC30	0	0	0	0
Rv0625c	.	0	0	0	0
Rv0626	vapB5	0	0	0	0
Rv0627	vapC5	0	0	0	0
Rv0628c	.	0	0	0	0
Rv0629c	recD	0	1	0	1
Rv0630c	recB	0	0	0	0
Rv0631c	recC	0	0	0	0
Rv0632c	echA3	0	1	0	1
Rv0633c	.	0	0	0	0
Rv0634A	.	0	0	0	0
Rv0634B	rpmG2	0	0	0	0
Rv0634c	.	0	0	0	0
Rv0635	hadA	0	0	0	0
Rv0636	hadB	0	0	0	0
Rv0637	hadC	0	0	0	0
Rv0638	secE1	0	0	0	0
Rv0639	nusG	0	0	0	0
Rv0640	rplK	0	0	0	0
Rv0641	rplA	0	0	0	0
Rv0642c	mmaA4	0	0	0	0
Rv0643c	mmaA3	0	0	0	0
Rv0644c	mmaA2	0	0	0	0
Rv0645c	mmaA1	0	0	0	0
Rv0646c	lipG	0	0	0	0
Rv0647c	.	0	0	0	0
Rv0648	.	0	0	0	0
Rv0651	rplJ	0	0	0	0
Rv0652	rplL	0	0	0	0
Rv0653c	.	0	0	0	0
Rv0654	.	0	0	0	0
Rv0655	mkl	0	1	0	0
Rv0656c	vapC6	0	0	0	0
Rv0657c	vapB6	0	0	0	0
Rv0658c	.	0	0	0	0
Rv0659c	mazF2	0	0	0	0
Rv0660c	mazE2	0	0	0	0
Rv0661c	vapC7	0	0	0	0
Rv0662c	vapB7	0	0	0	0
Rv0663	atsD	0	1	0	0
Rv0664	vapB8	0	0	0	0
Rv0665	vapC8	0	0	0	0
Rv0666	.	0	0	0	0
Rv0667	rpoB	0	0	0	0
Rv0668	rpoC	0	0	0	0
Rv0669c	.	0	0	0	0
Rv0670	end	0	0	0	0
Rv0671	lpqP	0	0	0	0
Rv0672	fadE8	0	0	0	0
Rv0673	echA4	0	0	0	0
Rv0674	.	0	0	0	0
Rv0675	echA5	0	0	0	0
Rv0676c	mmpL5	0	1	0	0
Rv0677c	mmpS5	0	1	0	0
Rv0678	.	1	0	0	0
Rv0679c	.	0	0	0	0
Rv0680c	.	0	0	0	0
Rv0681	.	0	0	0	0
Rv0682	rpsL	0	0	0	0
Rv0683	rpsG	0	0	0	0
Rv0684	fusA1	0	0	0	0
Rv0685	tuf	0	0	0	0
Rv0686	.	0	0	0	0
Rv0687	.	0	0	0	0
Rv0688	.	0	0	0	0
Rv0689c	.	0	0	0	0
Rv0690c	.	0	0	0	0
Rv0691c	.	0	0	0	0
Rv0691A	.	0	0	0	0
Rv0692	.	0	0	0	0
Rv0693	.	0	0	0	0
Rv0694	.	0	0	0	0
Rv0695	.	0	0	0	0
Rv0696	.	0	0	0	1
Rv0697	.	0	0	0	0
Rv0698	.	0	0	0	0
Rv0699	.	0	0	0	0
Rv0700	rpsJ	0	0	0	0
Rv0701	rplC	0	1	0	0
Rv0702	rplD	0	1	0	0
Rv0703	rplW	0	1	0	0
Rv0704	rplB	0	1	0	0
Rv0705	rpsS	0	0	0	0
Rv0706	rplV	0	0	0	0
Rv0707	rpsC	0	0	0	0
Rv0708	rplP	0	1	0	1
Rv0709	rpmC	0	0	0	0
Rv0710	rpsQ	0	1	0	1
Rv0711	atsA	0	0	0	0
Rv0712	.	0	0	0	0
Rv0713	.	0	0	0	0
