"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0140" 89.036958 81.448461 36.581611 31.691219 92.287895 88.931245 26.244599 20.755015
"Rv0141c" 83.192973 88.442682 11.795277 9.538309 70.14629 74.961957 9.773162 11.506305
"Rv0142" 27.663683 45.201491 5.066195 8.20418 33.089827 32.022583 6.176951 7.694067
"Rv0143c" 164.378239 178.205748 10.191894 10.178324 168.745245 175.164654 12.943714 14.047999
"Rv0144" 517.782253 482.01216 183.034699 133.651056 487.615423 435.36624 180.658827 133.716406
"Rv0145" 626.511931 620.730389 105.205266 152.864898 632.885638 569.522288 131.151048 119.5397
"Rv0146" 111.097384 135.671975 22.488894 46.4715 111.478829 118.508989 33.342549 29.498136
"Rv0147" 259.451051 254.202386 26.793104 27.269028 265.123552 260.863667 41.523532 37.412326
"Rv0148" 207.395273 236.816063 29.999996 21.126523 208.403318 199.289105 35.038912 36.917184
"Rv0149" 164.969855 165.973209 17.82301 11.975155 159.73704 140.176538 19.756195 23.121815
"Rv0150c" 10.283121 10.348825 0.789039 1.088957 8.324263 7.548253 2.670724 1.615127
"Rv0151c" 23.616737 23.978102 1.200305 0.709948 23.482315 19.345021 1.93465 1.140735
"Rv0152c" 11.260604 14.332347 1.296065 0.447176 13.011074 11.971111 2.058049 1.424751
"Rv0153c" 102.459978 112.309691 3.372645 2.830502 102.008633 106.985416 6.170627 6.157307
"Rv0154c" 99.628725 115.38608 6.687305 3.81674 114.67576 124.627346 5.782163 6.460507
"Rv0155" 73.848958 81.423803 0.481594 1.068187 80.510334 72.034287 0.853856 0.915385
"Rv0156" 65.690699 62.30135 0.682413 0 77.347 64.15663 0.256646 0.232811
"Rv0157" 401.065284 371.432259 1.69743 2.031499 405.289919 373.339942 3.231801 3.908878
"Rv0157A" 115.831857 120.052029 88.078828 54.093303 105.311609 102.854778 100.038299 67.910448
"Rv0158" 181.15685 175.230659 3.288276 1.944928 181.269394 162.243243 5.432543 3.004887
"Rv0159c" 9.615386 6.770283 0.969055 0.612974 9.087469 7.618735 1.214828 0.881604
"Rv0160c" 3.657542 4.182615 1.003947 1.039164 4.888388 3.576714 0.90617 0.462382
"Rv0161" 16.303421 17.532126 0.280547 0.174233 16.073654 19.267999 0.569755 1.033681
"Rv0162c" 14.781986 23.741421 0.723286 1.973734 17.342215 19.000774 2.744911 4.037817
