"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0389" 547 821 71 58 659 505 62 104
"Rv0390" 954 1149 71 38 1110 942 84 114
"Rv0391" 2352 2464 160 94 2783 1985 264 290
"Rv0392c" 1599 1762 124 120 1741 1342 199 178
"Rv0393" 9 18 1 5 27 16 2 6
"Rv0394c" 1045 1382 27 27 1290 1113 154 155
"Rv0395" 22 31 0 2 18 20 1 1
"Rv0396" 4 2 0 1 4 2 0 0
"Rv0397" 9 26 0 1 10 7 1 1
"Rv0397A" 560 624 67 86 580 445 128 163
"Rv0398c" 398 767 37 22 447 513 67 94
"Rv0399c" 885 1028 33 34 796 752 85 92
"Rv0400c" 2090 2896 153 100 2361 2178 247 366
"Rv0401" 220 273 3 3 246 128 7 8
"Rv0402c" 2343 2282 12 19 2410 1711 35 21
"Rv0403c" 186 228 4 5 200 150 11 4
"Rv0404" 1654 1948 41 16 1776 1414 46 42
"Rv0405" 7272 8400 56 69 7323 5957 129 154
"Rv0406c" 330 335 50 19 386 256 36 47
"Rv0407" 2200 2568 79 59 2497 1868 171 154
"Rv0408" 4077 4453 175 81 4510 3373 186 207
"Rv0409" 3034 3261 62 45 3206 2442 106 112
"Rv0410c" 6959 8653 959 686 7931 6471 1298 1648
"Rv0411c" 3035 3945 471 322 3481 3322 608 722
"Rv0412c" 6029 7648 889 647 6651 5746 1015 989
"Rv0413" 971 1681 62 61 1380 1069 72 146
"Rv0414c" 143 299 11 8 279 234 6 15
"Rv0415" 656 936 101 107 759 610 74 96
"Rv0416" 9 6 0 1 5 2 0 0
"Rv0417" 265 281 23 18 280 229 17 27
"Rv0418" 5103 5398 28 30 6057 4637 82 109
"Rv0419" 5119 5810 417 335 5808 4007 734 693
"Rv0420c" 591 573 21 12 575 419 47 51
"Rv0421c" 824 1226 60 40 976 894 24 34
"Rv0422c" 1558 2065 84 46 1603 1346 67 63
"Rv0423c" 10630 12146 713 448 11694 10078 474 525
"Rv0424c" 1420 1865 15 15 1607 1465 22 53
"Rv0425c" 18085 26964 603 552 22189 20840 883 1242
"Rv0426c" 1857 2476 86 51 2112 1655 134 143
"Rv0427c" 794 1094 10 15 1010 714 4 19
